epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.242,1.12466,3.0272,1.357,0.46521,0.78162,0.66273,0.51163,0.83165,1.38859,1.14391,0.00025615,0.00025615,0.00025615
2,426.822,0.97241,1.81346,1.22741,0.80497,0.83583,0.88483,0.76168,0.60755,0.83556,0.97743,0.000487116,0.000487116,0.000487116
3,632.639,0.91739,1.3928,1.19917,0.6925,0.84164,0.91455,0.77735,0.62269,0.93896,0.99816,0.000692704,0.000692704,0.000692704
